radius, dispersion
0.0007360446241274024, 0.07906914418438438
0.0008534023145816314, 0.0783151688404502
0.0009352493660181735, 0.09928939204443932
0.0010616920597239583, 0.0948487710252941
0.001131186315865826, 0.07058692156512414
0.0012223307362665052, 0.08917926811441179
0.0014072747508446864, 0.10059171309305304
0.0014006809548853252, 0.09339467571913518
0.0016481597082506775, 0.0995264956080697
0.00191865661207353, 0.10597235532022009
0.0022518088984294273, 0.10372756509168868
0.002236359182974952, 0.11113665803108796
0.002652983994959231, 0.10806292331931067
0.0030977317671075488, 0.11191847905533803
0.003216334330268018, 0.12074722569630558
0.0036221371499138544, 0.10862497766660706
0.0037732018429818596, 0.12255981288677364
0.004077224522720631, 0.11224405931749148
0.004431684223884757, 0.12149072916046288
0.00507711867557682, 0.12835958416876758
0.006006722605063362, 0.13438351714392444
0.006933859783391445, 0.13789754680086547
0.007850528352299446, 0.14344664349407954
0.008160676858521945, 0.15484366624977663
0.009166595468236206, 0.14295141877954093
0.010703288837072599, 0.14740672763006152
0.01249759437151708, 0.1496001104487793
0.01459269832408766, 0.15175922166095468
0.01703902671566554, 0.15295872788994097
0.019895459014453068, 0.15350707359462046
0.023230745276774503, 0.15511783910211635
0.02712516085818071, 0.15532346874137115
0.031672438521280974, 0.15583754283950818
0.03672240983289494, 0.1546811426756397
0.04237806984137696, 0.1474672741349532
0.049715295366751476, 0.1448363571393766
0.05836502438103976, 0.14088223391957533
0.0680202364114164, 0.14458331844440475
0.06929852326934813, 0.13362464585619843
0.07947915979047598, 0.13753993210648552
0.09241165369047062, 0.13308119609531072
0.1079035967920762, 0.131333344161645
0.12182981941605571, 0.12177314770275272
0.1430264132617661, 0.11525996069322841
0.16700344394773997, 0.11056475059691062
0.19499999793297998, 0.1044986762388942
0.22768991042939973, 0.0982269722416228
0.26214039495405517, 0.09037877434339814
0.3018033892545949, 0.08338736660873514
0.3523978840773408, 0.07845225526662003
0.41147406929028135, 0.07620936901622977
0.46710403451832827, 0.07134269208844868
0.5071166622055777, 0.0619601870049431
0.5935221015515242, 0.05919161238975412
0.6930204901160147, 0.06107655074958973
0.8091988461173554, 0.06330420517485014
0.9537702647588352, 0.05996843547138331
0.9926153602554509, 0.053433982490619925
